[2017-01-19 22:28:30,577]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 17:48:21,844]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 17:48:21,926]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-21 17:48:21,928]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-21 17:56:09,014]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 17:56:09,094]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-21 17:56:09,095]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-21 17:59:05,506]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 17:59:08,381]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-21 17:59:08,384]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-21 18:39:55,253]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 18:39:57,931]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-21 18:39:57,936]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-21 18:42:46,433]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 18:42:48,143]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-21 18:42:48,147]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-21 18:45:25,652]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 18:45:32,374]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-21 18:45:32,377]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-21 19:03:05,633]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 19:03:05,698]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-21 19:03:05,699]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-21 19:04:26,964]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 19:04:27,030]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-21 19:04:27,031]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-21 19:04:50,805]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 19:04:50,893]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-21 19:04:50,895]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-21 19:07:12,004]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 19:07:14,807]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-21 19:07:14,810]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-21 19:16:47,138]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 19:17:00,390]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-21 19:17:00,394]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-21 19:20:48,084]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 19:20:50,996]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-21 19:20:50,999]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-21 21:02:00,054]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 21:02:01,996]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-21 21:02:01,999]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-21 21:03:29,326]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-21 21:03:32,676]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-21 21:03:32,680]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-22 12:44:25,332]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-22 12:44:27,680]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-22 12:44:27,686]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-22 12:44:37,485]-[AWT-EventQueue-0] INFO  wycc  - AbsolutePath : /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/./WYCC.xlsx
[2017-01-22 12:44:50,366]-[AWT-EventQueue-0] INFO  wycc  - CanonicalPath /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/WYCC.xlsx
[2017-01-22 12:45:02,145]-[AWT-EventQueue-0] INFO  wycc  - Path /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/./WYCC.xlsx
[2017-01-22 12:45:09,062]-[AWT-EventQueue-0] INFO  wycc  - Parent /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/.
[2017-01-22 21:52:08,091]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-22 21:52:09,830]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-22 21:52:09,833]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-22 21:52:21,827]-[AWT-EventQueue-0] INFO  wycc  - AbsolutePath : /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/./WYCC.xlsx
[2017-01-22 21:52:23,064]-[AWT-EventQueue-0] INFO  wycc  - CanonicalPath /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/WYCC.xlsx
[2017-01-22 21:52:28,003]-[AWT-EventQueue-0] INFO  wycc  - Path /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/./WYCC.xlsx
[2017-01-22 21:52:29,388]-[AWT-EventQueue-0] INFO  wycc  - Parent /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/.
[2017-01-22 21:59:16,174]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-22 21:59:17,650]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-22 21:59:17,653]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-22 21:59:27,335]-[AWT-EventQueue-0] INFO  wycc  - AbsolutePath : /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/./WYCC.xlsx
[2017-01-22 21:59:28,212]-[AWT-EventQueue-0] INFO  wycc  - CanonicalPath /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/WYCC.xlsx
[2017-01-22 21:59:30,201]-[AWT-EventQueue-0] INFO  wycc  - Path /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/./WYCC.xlsx
[2017-01-22 21:59:32,226]-[AWT-EventQueue-0] INFO  wycc  - Parent /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/.
[2017-01-22 22:01:49,783]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-22 22:01:51,833]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-22 22:01:51,840]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-22 22:01:57,019]-[AWT-EventQueue-0] INFO  wycc  - AbsolutePath : /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/./WYCC.xlsx
[2017-01-22 22:01:57,591]-[AWT-EventQueue-0] INFO  wycc  - CanonicalPath /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/WYCC.xlsx
[2017-01-22 22:01:58,233]-[AWT-EventQueue-0] INFO  wycc  - Path /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/./WYCC.xlsx
[2017-01-22 22:01:59,437]-[AWT-EventQueue-0] INFO  wycc  - Parent /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/.
[2017-01-22 22:04:17,555]-[AWT-EventQueue-0] INFO  wycc  - AbsolutePath : /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/./WYCC.xlsx
[2017-01-22 22:04:19,165]-[AWT-EventQueue-0] INFO  wycc  - CanonicalPath /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/WYCC.xlsx
[2017-01-22 22:04:19,942]-[AWT-EventQueue-0] INFO  wycc  - Path /Volumes/LaCie/ProjetDev/JavaEclipse/ExcelJava/./WYCC.xlsx
[2017-01-22 22:08:23,749]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-22 22:08:23,841]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-22 22:08:23,842]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-22 22:09:22,185]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-22 22:09:22,266]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-22 22:09:22,267]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-22 22:09:26,773]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,777]-[AWT-EventQueue-0] INFO  wycc  - rating
[2017-01-22 22:09:26,777]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,777]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,778]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,778]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,778]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,778]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,780]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,781]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,781]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,781]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,781]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,783]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,784]-[AWT-EventQueue-0] INFO  wycc  - EUR
[2017-01-22 22:09:26,784]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,784]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,784]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,784]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,785]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,785]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,785]-[AWT-EventQueue-0] INFO  wycc  - DAILY
[2017-01-22 22:09:26,785]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,785]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,786]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,794]-[AWT-EventQueue-0] INFO  wycc  - 0.12
[2017-01-22 22:09:26,795]-[AWT-EventQueue-0] INFO  wycc  - 0.1
[2017-01-22 22:09:26,795]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,795]-[AWT-EventQueue-0] INFO  wycc  - 0.1
[2017-01-22 22:09:26,795]-[AWT-EventQueue-0] INFO  wycc  - 0.04
[2017-01-22 22:09:26,796]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,796]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,796]-[AWT-EventQueue-0] INFO  wycc  - 0.0
[2017-01-22 22:09:26,796]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,796]-[AWT-EventQueue-0] INFO  wycc  - 0.0
[2017-01-22 22:09:26,797]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,797]-[AWT-EventQueue-0] INFO  wycc  - 0.0
[2017-01-22 22:09:26,797]-[AWT-EventQueue-0] INFO  wycc  - Period
[2017-01-22 22:09:26,797]-[AWT-EventQueue-0] INFO  wycc  - DAILY
[2017-01-22 22:09:26,797]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,798]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,798]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,798]-[AWT-EventQueue-0] INFO  wycc  - 0.1
[2017-01-22 22:09:26,798]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,800]-[AWT-EventQueue-0] INFO  wycc  - 0.1
[2017-01-22 22:09:26,800]-[AWT-EventQueue-0] INFO  wycc  - 0.04
[2017-01-22 22:09:26,800]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,800]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,801]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,801]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,801]-[AWT-EventQueue-0] INFO  wycc  - Period
[2017-01-22 22:09:26,801]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,801]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,801]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,802]-[AWT-EventQueue-0] INFO  wycc  - Annual
[2017-01-22 22:09:26,802]-[AWT-EventQueue-0] INFO  wycc  - Period
[2017-01-22 22:09:26,802]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,802]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,803]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,803]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,803]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,803]-[AWT-EventQueue-0] INFO  wycc  - 0.1
[2017-01-22 22:09:26,804]-[AWT-EventQueue-0] INFO  wycc  - 0.04
[2017-01-22 22:09:26,804]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,804]-[AWT-EventQueue-0] INFO  wycc  - 0.2
[2017-01-22 22:09:26,805]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,805]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,805]-[AWT-EventQueue-0] INFO  wycc  - 0.0
[2017-01-22 22:09:26,805]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,805]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,806]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,806]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,807]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,807]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,807]-[AWT-EventQueue-0] INFO  wycc  - 0.1
[2017-01-22 22:09:26,808]-[AWT-EventQueue-0] INFO  wycc  - 0.04
[2017-01-22 22:09:26,808]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,808]-[AWT-EventQueue-0] INFO  wycc  - 0.2
[2017-01-22 22:09:26,808]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,808]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,809]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,809]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,810]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,811]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,811]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,812]-[AWT-EventQueue-0] INFO  wycc  - 0.1
[2017-01-22 22:09:26,812]-[AWT-EventQueue-0] INFO  wycc  - 0.04
[2017-01-22 22:09:26,813]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,814]-[AWT-EventQueue-0] INFO  wycc  - 0.2
[2017-01-22 22:09:26,814]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,814]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,815]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,815]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,816]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,816]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,816]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,816]-[AWT-EventQueue-0] INFO  wycc  - 0.1
[2017-01-22 22:09:26,817]-[AWT-EventQueue-0] INFO  wycc  - 0.04
[2017-01-22 22:09:26,817]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,817]-[AWT-EventQueue-0] INFO  wycc  - 0.2
[2017-01-22 22:09:26,817]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,818]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,818]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,818]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,819]-[AWT-EventQueue-0] INFO  wycc  - Rate
[2017-01-22 22:09:26,819]-[AWT-EventQueue-0] INFO  wycc  - WYCC Commission
[2017-01-22 22:09:26,820]-[AWT-EventQueue-0] INFO  wycc  - Cie Fees
[2017-01-22 22:09:26,820]-[AWT-EventQueue-0] INFO  wycc  - Total
[2017-01-22 22:09:26,822]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,822]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,823]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,823]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,823]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,823]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,824]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,824]-[AWT-EventQueue-0] INFO  wycc  - Rate
[2017-01-22 22:09:26,824]-[AWT-EventQueue-0] INFO  wycc  - Total
[2017-01-22 22:09:26,824]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,825]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,825]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,825]-[AWT-EventQueue-0] INFO  wycc  - Rate
[2017-01-22 22:09:26,826]-[AWT-EventQueue-0] INFO  wycc  - Total
[2017-01-22 22:09:26,826]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,826]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,826]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,826]-[AWT-EventQueue-0] INFO  wycc  - Rate
[2017-01-22 22:09:26,826]-[AWT-EventQueue-0] INFO  wycc  - Total
[2017-01-22 22:09:26,827]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,827]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:09:26,827]-[AWT-EventQueue-0] INFO  wycc  - Rate
[2017-01-22 22:09:26,827]-[AWT-EventQueue-0] INFO  wycc  - Total
[2017-01-22 22:09:26,827]-[AWT-EventQueue-0] INFO  wycc  - 
[2017-01-22 22:13:49,920]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-22 22:13:49,980]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-22 22:13:49,981]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-22 22:14:54,695]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-22 22:14:54,793]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-22 22:14:54,794]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-22 22:16:13,925]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-22 22:16:17,327]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-22 22:16:17,330]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-22 22:19:32,870]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-22 22:19:32,936]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-22 22:19:32,937]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-22 22:21:05,995]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-22 22:21:06,080]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-22 22:21:06,081]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-22 22:32:46,353]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-22 22:32:48,349]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-22 22:32:48,354]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-22 22:33:06,366]-[AWT-EventQueue-0] INFO  wycc  - 131
[2017-01-22 22:53:24,148]-[AWT-EventQueue-0] INFO  wycc  - Select file csv
[2017-01-22 22:53:24,275]-[AWT-EventQueue-0] INFO  file  - Création fileChooser
[2017-01-22 22:53:24,279]-[AWT-EventQueue-0] INFO  file  - showOpenFileDialog.setDialogTitle
[2017-01-22 22:53:46,780]-[AWT-EventQueue-0] INFO  wycc  - 19
[2017-01-22 22:53:48,107]-[AWT-EventQueue-0] INFO  wycc  - 131
